id,created_at,HSN_Code,HSN_Description,is_active,tax_id
1,1767163677666,19053100,,,1
2,1767163680523,21069099,,,1
3,1767163680530,22011010,,,2
4,1767163680534,8041010,,,1
5,1767163680538,15099010,,,1
6,1767163680542,19021900,,,1
7,1767163680546,21039030,,,1
8,1767163680550,21039020,,,1
9,1767163680553,21031000,,,1
10,1767163680557,21032000,,,1
11,1767163680560,22029920,,,1
12,1767163680564,18069040,,,2
13,1767163680568,15131100,,,1
14,1767163680571,4059020,,,1
15,1767163680575,4090000,,,1
16,1767163680579,13019013,,,1
17,1767163680583,15155091,,,1
18,1767163680587,21069011,,,2
19,1767163680590,13019013,,,3
20,1767163680594,19023010,,,1
21,1767163680598,11029090,,,1
22,1767163680602,10019910,,,1
23,1767163680607,11010000,,,1
24,1767163680612,11031120,,,1
25,1767163680616,9109100,,,1
26,1767163680621,19019090,,,1
27,1767163680626,16041210,,,1
28,1767163680630,21061000,,,1
29,1767163680634,9041200,,,1
30,1767163680638,9042221,,,1
31,1767163680642,9092200,,,1
32,1767163680646,9093121,,,1
33,1767163680650,9103030,,,1
34,1767163680654,29152100,,,2
35,1767163680658,9042219,,,1
36,1767163680662,9096131,,,1
37,1767163680666,9109912,,,1
38,1767163680671,120750,,,1
39,1767163680676,3401,,,2
40,1767163680681,3402,,,2
41,1767163680685,34011942,,,2
42,1767163680690,20079990,,,1
43,1767163680695,20089919,,,1
44,1767163680699,33021010,,,2
45,1767163680704,21069040,,,1
46,1767163680709,21069011,,,1
47,1767163680713,22029100,,,4
